kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_4.ptx 152 : 46400 503936 0 0 0 0 0 0 0 
_6.ptx 153 : 512 3328 0 0 0 0 0 0 0 
_4.ptx 153 : 46400 541024 0 0 0 0 0 0 0 
_4.ptx 154 : 46400 971936 14720 0 0 3187 1450 0 0 
_4.ptx 155 : 46400 327744 0 0 0 0 0 0 0 
_4.ptx 160 : 46400 243968 185600 0 0 1450 1450 0 0 
_4.ptx 161 : 46400 491648 0 0 0 0 0 0 0 
_4.ptx 162 : 46400 539360 0 0 0 0 0 0 0 
_4.ptx 163 : 46400 409856 0 0 0 0 0 0 0 
_4.ptx 164 : 46400 266112 0 0 0 0 0 0 0 
_4.ptx 165 : 9280 106720 0 0 0 0 0 0 0 
_4.ptx 166 : 9280 98240 0 0 0 0 0 0 0 
_4.ptx 167 : 9280 108384 0 0 0 0 0 0 0 
_4.ptx 168 : 9280 104608 0 0 0 0 0 0 0 
_4.ptx 169 : 9280 81888 0 0 0 0 0 0 0 
_4.ptx 170 : 9280 55584 0 0 0 0 0 0 0 
_4.ptx 172 : 1856 20928 0 0 0 0 0 0 0 
_4.ptx 173 : 1856 15456 0 0 0 0 0 0 0 
_4.ptx 174 : 1856 0 0 0 0 0 0 0 0 
_4.ptx 177 : 2560 16352 0 0 0 0 0 0 0 
_5.ptx 226 : 4096 24576 0 0 0 0 0 0 0 
_5.ptx 227 : 4096 24576 0 0 0 0 0 0 0 
_5.ptx 228 : 4096 75936 0 0 0 0 0 0 0 
_5.ptx 229 : 4096 24576 0 0 0 0 0 0 0 
_5.ptx 230 : 4096 45536 0 0 0 0 0 0 0 
_5.ptx 231 : 4096 31104 0 0 0 0 0 0 0 
_5.ptx 232 : 4096 12288 0 0 0 0 0 0 0 
_5.ptx 233 : 4096 33728 0 0 0 0 0 0 0 
_5.ptx 234 : 4096 2816 0 0 0 0 0 0 0 
_5.ptx 235 : 3680 25312 0 0 0 0 0 0 0 
_5.ptx 236 : 3680 54080 0 0 0 0 0 0 0 
_5.ptx 237 : 3680 26560 0 0 0 0 0 0 0 
_5.ptx 238 : 3680 57888 0 0 0 0 0 0 0 
_5.ptx 239 : 3680 26848 0 0 0 0 0 0 0 
_5.ptx 240 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 241 : 3680 40608 0 0 0 0 0 0 0 
_5.ptx 242 : 3680 68864 0 0 0 0 0 0 0 
_5.ptx 243 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 244 : 3680 40576 0 0 0 0 0 0 0 
_5.ptx 245 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 246 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 247 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 248 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 249 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 250 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 254 : 3680 645696 0 0 0 0 0 0 0 
_5.ptx 255 : 3680 30176 0 0 0 0 0 0 0 
_5.ptx 256 : 3680 41952 0 0 0 0 0 0 0 
_5.ptx 257 : 3680 40640 0 0 0 0 0 0 0 
_5.ptx 258 : 3680 22656 0 0 0 0 0 0 0 
_5.ptx 259 : 3680 73696 0 0 0 0 0 0 0 
_5.ptx 260 : 3680 32320 0 0 0 0 0 0 0 
_5.ptx 261 : 3680 44192 0 0 0 0 0 0 0 
_5.ptx 262 : 3680 76096 0 0 0 0 0 0 0 
_5.ptx 263 : 3680 31264 0 0 0 0 0 0 0 
_5.ptx 264 : 3680 0 0 0 0 0 0 0 0 
_5.ptx 265 : 3680 676960 0 0 0 0 0 0 0 
_5.ptx 266 : 3680 11040 0 0 0 0 0 0 0 
_5.ptx 267 : 3680 562464 0 0 0 0 0 0 0 
_5.ptx 268 : 3680 29440 0 0 0 0 0 0 0 
_5.ptx 269 : 3680 43968 0 0 0 0 0 0 0 
_5.ptx 270 : 3680 41280 0 0 0 0 0 0 0 
_5.ptx 271 : 3680 11136 0 0 0 0 0 0 0 
_5.ptx 272 : 3680 11136 0 0 0 0 0 0 0 
_5.ptx 273 : 3680 42528 0 0 0 0 0 0 0 
_5.ptx 274 : 3680 43200 0 0 0 0 0 0 0 
