kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_5.ptx 118 : 3680 2740 0 0 0 0 0 0 115 
_3.ptx 118 : 2559720 26412686 0 0 0 0 0 0 0 
_4.ptx 118 : 3712 62432 0 0 0 0 0 0 0 
_3.ptx 119 : 2559720 26411910 0 0 0 0 0 0 0 
_4.ptx 119 : 3712 42432 0 0 0 0 0 0 0 
_5.ptx 120 : 3240 35830 0 0 0 0 0 0 0 
_3.ptx 120 : 2559720 29279683 0 0 0 0 0 0 0 
_4.ptx 120 : 3712 28800 0 0 0 0 0 0 0 
_6.ptx 120 : 512 3072 0 0 0 0 0 0 0 
_5.ptx 121 : 3240 9720 0 0 0 0 0 0 0 
_3.ptx 121 : 2559720 21691273 0 0 0 0 0 0 0 
_4.ptx 121 : 3712 29856 0 0 0 0 0 0 0 
_6.ptx 121 : 512 3072 0 0 0 0 0 0 0 
_5.ptx 122 : 3240 550678 0 0 0 0 0 0 0 
_3.ptx 122 : 2559720 14676994 0 0 0 0 0 0 0 
_4.ptx 122 : 3712 58816 0 0 0 0 0 0 0 
_6.ptx 122 : 512 9472 0 0 0 0 0 0 0 
_5.ptx 123 : 3240 32712 0 0 0 0 0 0 0 
_4.ptx 123 : 3712 27328 0 0 0 0 0 0 0 
_6.ptx 123 : 512 3072 0 0 0 0 0 0 0 
_5.ptx 124 : 3240 19440 0 0 0 0 0 0 0 
_4.ptx 124 : 3712 48128 0 0 0 0 0 0 0 
_6.ptx 124 : 512 5696 0 0 0 0 0 0 0 
_4.ptx 125 : 3712 28160 0 0 0 0 0 0 0 
_6.ptx 125 : 512 3776 0 0 0 0 0 0 0 
_5.ptx 126 : 440 2702 0 0 0 0 0 0 0 
_3.ptx 126 : 489536 3283392 0 0 0 0 0 0 0 
_4.ptx 126 : 3712 32416 0 0 0 0 0 0 0 
_6.ptx 126 : 512 1536 0 0 0 0 0 0 0 
_6.ptx 127 : 512 4224 0 0 0 0 0 0 0 
_6.ptx 128 : 512 72 0 0 0 0 0 0 1 
_5.ptx 129 : 3680 25760 0 0 0 0 0 0 0 
_4.ptx 129 : 18560 154720 0 0 0 0 0 0 0 
_6.ptx 129 : 500 3512 0 0 0 0 0 0 0 
_5.ptx 130 : 3680 559808 0 0 0 0 0 0 0 
_4.ptx 130 : 18560 220352 0 0 0 0 0 0 0 
_6.ptx 130 : 500 6652 0 0 0 0 0 0 0 
_5.ptx 131 : 3680 37216 0 0 0 0 0 0 0 
_4.ptx 131 : 18560 161952 0 0 0 0 0 0 0 
_6.ptx 131 : 500 3660 0 0 0 0 0 0 0 
_5.ptx 132 : 3680 73728 0 0 0 0 0 0 0 
_4.ptx 132 : 18560 145152 0 0 0 0 0 0 0 
_6.ptx 132 : 500 6408 0 0 0 0 0 0 0 
_5.ptx 133 : 3680 29664 0 0 0 0 0 0 0 
_4.ptx 133 : 18560 168928 0 0 0 0 0 0 0 
_6.ptx 133 : 500 3820 0 0 0 0 0 0 0 
_5.ptx 134 : 3680 0 0 0 0 0 0 0 0 
_4.ptx 134 : 18560 138880 0 0 0 0 0 0 0 
_6.ptx 134 : 500 1500 0 0 0 0 0 0 0 
_5.ptx 135 : 3680 562880 0 0 0 0 0 0 0 
_4.ptx 135 : 18560 157856 0 0 0 0 0 0 0 
